"","resultId","raceId","driverId","constructorId","number","grid","position","positionText","positionOrder","points","laps","time","milliseconds","fastestLap","rank","fastestLapTime","statusId","driverRef","number_drivers","code","forename","surname","dob","nationality","driverStandingsId","wins"
"24",24,19,9,2,"4",4,"2","2",2,8,56,"+19.570","5498125","39","6","1:35.921",1,"kubica","88","KUB","Robert","Kubica","1984-12-07","Polish",17,0
"25",25,19,5,1,"23",8,"3","3",3,6,56,"+38.450","5517005","19","7","1:35.922",1,"kovalainen","\N","KOV","Heikki","Kovalainen","1981-10-19","Finnish",13,0
"26",26,19,15,7,"11",3,"4","4",4,5,56,"+45.832","5524387","53","8","1:36.068",1,"trulli","\N","TRU","Jarno","Trulli","1974-07-13","Italian",18,0
"27",27,19,1,1,"22",9,"5","5",5,4,56,"+46.548","5525103","53","3","1:35.462",1,"hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British",9,1
"28",28,19,2,2,"3",5,"6","6",6,3,56,"+49.833","5528388","55","1","1:35.366",1,"heidfeld","\N","HEI","Nick","Heidfeld","1977-05-10","German",10,0
"29",29,19,17,9,"10",6,"7","7",7,2,56,"+1:08.130","5546685","53","12","1:36.696",1,"webber","\N","WEB","Mark","Webber","1976-08-27","Australian",19,0
"30",30,19,4,4,"5",7,"8","8",8,1,56,"+1:10.041","5548596","40","10","1:36.288",1,"alonso","14","ALO","Fernando","Alonso","1981-07-29","Spanish",12,0
"31",31,19,14,9,"9",12,"9","9",9,0,56,"+1:16.220","5554775","55","9","1:36.206",1,"coulthard","\N","COU","David","Coulthard","1971-03-27","British",20,0
"32",32,19,18,11,"16",11,"10","10",10,0,56,"+1:26.214","5564769","56","4","1:35.715",1,"button","22","BUT","Jenson","Button","1980-01-19","British",21,0
"33",33,19,12,4,"6",13,"11","11",11,0,56,"+1:32.202","5570757","52","15","1:36.956",1,"piquet_jr","\N","PIQ","Nelson","Piquet Jr.","1985-07-25","Brazilian",22,0
"34",34,19,21,10,"21",17,"12","12",12,0,55,"\N","\N","52","16","1:36.962",11,"fisichella","\N","FIS","Giancarlo","Fisichella","1973-01-14","Italian",23,0
"35",35,19,22,11,"17",14,"13","13",13,0,55,"\N","\N","55","11","1:36.693",11,"barrichello","\N","BAR","Rubens","Barrichello","1972-05-23","Brazilian",24,0
"36",36,19,3,3,"7",16,"14","14",14,0,55,"\N","\N","55","13","1:36.782",11,"rosberg","6","ROS","Nico","Rosberg","1985-06-27","German",11,0
"37",37,19,19,8,"19",21,"15","15",15,0,55,"\N","\N","55","18","1:38.171",11,"davidson","\N","DAV","Anthony","Davidson","1979-04-18","British",25,0
"38",38,19,11,8,"18",19,"16","16",16,0,54,"\N","\N","53","19","1:38.504",12,"sato","\N","SAT","Takuma","Sato","1977-01-28","Japanese",26,0
"39",39,19,6,3,"8",22,"17","17",17,0,54,"\N","\N","19","17","1:37.711",12,"nakajima","\N","NAK","Kazuki","Nakajima","1985-01-11","Japanese",14,0
"40",40,19,20,5,"15",15,"\N","R",18,0,39,"\N","\N","37","14","1:36.870",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,19,13,6,"2",1,"\N","R",19,0,30,"\N","\N","15","5","1:35.914",20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,19,16,10,"20",20,"\N","R",20,0,5,"\N","\N","3","20","1:40.330",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,19,10,7,"12",10,"\N","R",21,0,1,"\N","\N","\N","\N","\N",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,19,7,5,"14",18,"\N","R",22,0,0,"\N","\N","\N","\N","\N",20,"bourdais","\N","BOU","Sébastien","Bourdais","1979-02-28","French",15,0
"45",45,20,13,6,"2",2,"1","1",1,10,57,"1:31:06.970","5466970","38","3","1:33.600",1,"massa","19","MAS","Felipe","Massa","1981-04-25","Brazilian",45,1
"46",46,20,8,6,"1",4,"2","2",2,8,57,"+3.339","5470309","35","4","1:33.709",1,"raikkonen","7","RAI","Kimi","Räikkönen","1979-10-17","Finnish",34,1
"47",47,20,9,2,"4",1,"3","3",3,6,57,"+4.998","5471968","55","5","1:33.775",1,"kubica","88","KUB","Robert","Kubica","1984-12-07","Polish",35,0
"48",48,20,2,2,"3",6,"4","4",4,5,57,"+8.409","5475379","48","2","1:33.565",1,"heidfeld","\N","HEI","Nick","Heidfeld","1977-05-10","German",28,0
"49",49,20,5,1,"23",5,"5","5",5,4,57,"+26.789","5493759","49","1","1:33.193",1,"kovalainen","\N","KOV","Heikki","Kovalainen","1981-10-19","Finnish",31,0
"50",50,20,15,7,"11",7,"6","6",6,3,57,"+41.314","5508284","45","7","1:34.204",1,"trulli","\N","TRU","Jarno","Trulli","1974-07-13","Italian",36,0
"51",51,20,17,9,"10",11,"7","7",7,2,57,"+45.473","5512443","51","8","1:34.305",1,"webber","\N","WEB","Mark","Webber","1976-08-27","Australian",37,0
"52",52,20,3,3,"7",8,"8","8",8,1,57,"+55.889","5522859","57","6","1:34.072",1,"rosberg","6","ROS","Nico","Rosberg","1985-06-27","German",29,0
"53",53,20,10,7,"12",13,"9","9",9,0,57,"+1:09.500","5536470","56","9","1:34.807",1,"glock","\N","GLO","Timo","Glock","1982-03-18","German",46,0
"54",54,20,4,4,"5",10,"10","10",10,0,57,"+1:17.181","5544151","35","13","1:35.194",1,"alonso","14","ALO","Fernando","Alonso","1981-07-29","Spanish",30,0
"55",55,20,22,11,"17",12,"11","11",11,0,57,"+1:17.862","5544832","40","10","1:34.855",1,"barrichello","\N","BAR","Rubens","Barrichello","1972-05-23","Brazilian",42,0
"56",56,20,21,10,"21",18,"12","12",12,0,56,"\N","\N","56","11","1:35.057",11,"fisichella","\N","FIS","Giancarlo","Fisichella","1973-01-14","Italian",41,0
"57",57,20,1,1,"22",3,"13","13",13,0,56,"\N","\N","25","19","1:35.520",11,"hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British",27,1
"58",58,20,6,3,"8",16,"14","14",14,0,56,"\N","\N","30","17","1:35.433",11,"nakajima","\N","NAK","Kazuki","Nakajima","1985-01-11","Japanese",32,0
"59",59,20,7,5,"14",15,"15","15",15,0,56,"\N","\N","33","15","1:35.333",11,"bourdais","\N","BOU","Sébastien","Bourdais","1979-02-28","French",33,0
"60",60,20,19,8,"19",21,"16","16",16,0,56,"\N","\N","45","14","1:35.324",11,"davidson","\N","DAV","Anthony","Davidson","1979-04-18","British",43,0
"61",61,20,11,8,"18",22,"17","17",17,0,56,"\N","\N","56","20","1:35.891",11,"sato","\N","SAT","Takuma","Sato","1977-01-28","Japanese",44,0
"62",62,20,14,9,"9",17,"18","18",18,0,56,"\N","\N","43","16","1:35.351",11,"coulthard","\N","COU","David","Coulthard","1971-03-27","British",38,0
"63",63,20,16,10,"20",20,"19","19",19,0,56,"\N","\N","55","18","1:35.442",12,"sutil","99","SUT","Adrian","Sutil","1983-01-11","German",47,0
"64",64,20,12,4,"6",14,"\N","R",20,0,40,"\N","\N","31","12","1:35.129",6,"piquet_jr","\N","PIQ","Nelson","Piquet Jr.","1985-07-25","Brazilian",40,0
"65",65,20,18,11,"16",9,"\N","R",21,0,19,"\N","\N","11","21","1:36.125",4,"button","22","BUT","Jenson","Button","1980-01-19","British",39,0
"66",66,20,20,5,"15",19,"\N","R",22,0,0,"\N","\N","\N","\N","\N",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,21,8,6,"1",1,"1","1",1,10,66,"1:38:19.051","5899051","46","1","1:21.670",1,"raikkonen","7","RAI","Kimi","Räikkönen","1979-10-17","Finnish",55,2
"68",68,21,13,6,"2",3,"2","2",2,8,66,"+3.228","5902279","45","2","1:21.801",1,"massa","19","MAS","Felipe","Massa","1981-04-25","Brazilian",66,1
"69",69,21,1,1,"22",5,"3","3",3,6,66,"+4.187","5903238","20","3","1:22.017",1,"hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British",48,1
"70",70,21,9,2,"4",4,"4","4",4,5,66,"+5.694","5904745","20","4","1:22.106",1,"kubica","88","KUB","Robert","Kubica","1984-12-07","Polish",56,0
"71",71,21,17,9,"10",7,"5","5",5,4,66,"+35.938","5934989","19","8","1:22.564",1,"webber","\N","WEB","Mark","Webber","1976-08-27","Australian",58,0
"72",72,21,18,11,"16",13,"6","6",6,3,66,"+53.010","5952061","66","5","1:22.353",1,"button","22","BUT","Jenson","Button","1980-01-19","British",60,0
"73",73,21,6,3,"8",12,"7","7",7,2,66,"+58.244","5957295","48","15","1:23.549",1,"nakajima","\N","NAK","Kazuki","Nakajima","1985-01-11","Japanese",53,0
"74",74,21,15,7,"11",8,"8","8",8,1,66,"+59.435","5958486","45","10","1:22.758",1,"trulli","\N","TRU","Jarno","Trulli","1974-07-13","Italian",57,0
"75",75,21,2,2,"3",9,"9","9",9,0,66,"+1:03.073","5962124","21","7","1:22.519",1,"heidfeld","\N","HEI","Nick","Heidfeld","1977-05-10","German",49,0
"76",76,21,21,10,"21",19,"10","10",10,0,65,"\N","\N","40","14","1:23.439",11,"fisichella","\N","FIS","Giancarlo","Fisichella","1973-01-14","Italian",62,0
"77",77,21,10,7,"12",14,"11","11",11,0,65,"\N","\N","57","12","1:23.007",11,"glock","\N","GLO","Timo","Glock","1982-03-18","German",67,0
"78",78,21,14,9,"9",17,"12","12",12,0,65,"\N","\N","57","11","1:22.842",11,"coulthard","\N","COU","David","Coulthard","1971-03-27","British",59,0
"79",79,21,11,8,"18",22,"13","13",13,0,65,"\N","\N","34","17","1:24.617",11,"sato","\N","SAT","Takuma","Sato","1977-01-28","Japanese",65,0
"80",80,21,3,3,"7",15,"\N","R",14,0,41,"\N","\N","20","13","1:23.319",5,"rosberg","6","ROS","Nico","Rosberg","1985-06-27","German",50,0
"81",81,21,4,4,"5",2,"\N","R",15,0,34,"\N","\N","15","9","1:22.683",5,"alonso","14","ALO","Fernando","Alonso","1981-07-29","Spanish",51,0
"82",82,21,22,11,"17",11,"\N","R",16,0,34,"\N","\N","21","16","1:23.858",4,"barrichello","\N","BAR","Rubens","Barrichello","1972-05-23","Brazilian",63,0
"83",83,21,5,1,"23",6,"\N","R",17,0,21,"\N","\N","19","6","1:22.453",3,"kovalainen","\N","KOV","Heikki","Kovalainen","1981-10-19","Finnish",52,0
"84",84,21,19,8,"19",21,"\N","R",18,0,8,"\N","\N","6","20","1:26.864",21,"davidson","\N","DAV","Anthony","Davidson","1979-04-18","British",64,0
"85",85,21,7,5,"14",16,"\N","R",19,0,7,"\N","\N","6","19","1:25.999",4,"bourdais","\N","BOU","Sébastien","Bourdais","1979-02-28","French",54,0
"86",86,21,12,4,"6",10,"\N","R",20,0,6,"\N","\N","6","18","1:25.444",4,"piquet_jr","\N","PIQ","Nelson","Piquet Jr.","1985-07-25","Brazilian",61,0
"87",87,21,16,10,"20",20,"\N","R",21,0,0,"\N","\N","\N","\N","\N",4,"sutil","99","SUT","Adrian","Sutil","1983-01-11","German",68,0
"88",88,21,20,5,"15",18,"\N","R",22,0,0,"\N","\N","\N","\N","\N",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",89,22,13,6,"2",1,"1","1",1,10,58,"1:26:49.451","5209451","16","3","1:26.666",1,"massa","19","MAS","Felipe","Massa","1981-04-25","Brazilian",87,2
"90",90,22,1,1,"22",3,"2","2",2,8,58,"+3.779","5213230","31","2","1:26.529",1,"hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British",69,1
"91",91,22,8,6,"1",4,"3","3",3,6,58,"+4.271","5213722","20","1","1:26.506",1,"raikkonen","7","RAI","Kimi","Räikkönen","1979-10-17","Finnish",76,2
"92",92,22,9,2,"4",5,"4","4",4,5,58,"+21.945","5231396","17","4","1:26.780",1,"kubica","88","KUB","Robert","Kubica","1984-12-07","Polish",77,0
"93",93,22,2,2,"3",9,"5","5",5,4,58,"+38.741","5248192","20","5","1:27.219",1,"heidfeld","\N","HEI","Nick","Heidfeld","1977-05-10","German",70,0
"94",94,22,4,4,"5",7,"6","6",6,3,58,"+53.724","5263175","57","6","1:27.280",1,"alonso","14","ALO","Fernando","Alonso","1981-07-29","Spanish",72,0
"95",95,22,17,9,"10",6,"7","7",7,2,58,"+1:04.229","5273680","14","7","1:27.630",1,"webber","\N","WEB","Mark","Webber","1976-08-27","Australian",79,0
"96",96,22,3,3,"7",11,"8","8",8,1,58,"+1:11.406","5280857","55","9","1:27.795",1,"rosberg","6","ROS","Nico","Rosberg","1985-06-27","German",71,0
"97",97,22,14,9,"9",10,"9","9",9,0,58,"+1:15.270","5284721","41","12","1:27.966",1,"coulthard","\N","COU","David","Coulthard","1971-03-27","British",80,0
"98",98,22,15,7,"11",8,"10","10",10,0,58,"+1:16.344","5285795","52","11","1:27.926",1,"trulli","\N","TRU","Jarno","Trulli","1974-07-13","Italian",78,0
"99",99,22,18,11,"16",13,"11","11",11,0,57,"\N","\N","57","13","1:27.998",11,"button","22","BUT","Jenson","Button","1980-01-19","British",81,0
"100",100,22,5,1,"23",2,"12","12",12,0,57,"\N","\N","55","8","1:27.640",11,"kovalainen","\N","KOV","Heikki","Kovalainen","1981-10-19","Finnish",73,0
"101",101,22,10,7,"12",15,"13","13",13,0,57,"\N","\N","28","16","1:28.303",11,"glock","\N","GLO","Timo","Glock","1982-03-18","German",88,0
"102",102,22,22,11,"17",12,"14","14",14,0,57,"\N","\N","56","14","1:28.017",11,"barrichello","\N","BAR","Rubens","Barrichello","1972-05-23","Brazilian",84,0
"103",103,22,12,4,"6",17,"15","15",15,0,57,"\N","\N","40","10","1:27.867",11,"piquet_jr","\N","PIQ","Nelson","Piquet Jr.","1985-07-25","Brazilian",82,0
"104",104,22,16,10,"20",19,"16","16",16,0,57,"\N","\N","35","18","1:28.780",11,"sutil","99","SUT","Adrian","Sutil","1983-01-11","German",89,0
"105",105,22,20,5,"15",14,"17","17",17,0,57,"\N","\N","38","15","1:28.180",11,"vettel","5","VET","Sebastian","Vettel","1987-07-03","German",90,0
"106",106,22,7,5,"14",18,"\N","R",18,0,24,"\N","\N","19","17","1:28.745",22,"bourdais","\N","BOU","Sébastien","Bourdais","1979-02-28","French",75,0
"107",107,22,6,3,"8",16,"\N","R",19,0,1,"\N","\N","\N","\N","\N",4,"nakajima","\N","NAK","Kazuki","Nakajima","1985-01-11","Japanese",74,0
"108",108,22,21,10,"21",20,"\N","R",20,0,0,"\N","\N","\N","\N","\N",4,"fisichella","\N","FIS","Giancarlo","Fisichella","1973-01-14","Italian",83,0
"109",109,23,1,1,"22",3,"1","1",1,10,76,"2:00:42.742","7242742","71","6","1:18.510",1,"hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British",91,2
"110",110,23,9,2,"4",5,"2","2",2,8,76,"+3.064","7245806","75","5","1:17.933",1,"kubica","88","KUB","Robert","Kubica","1984-12-07","Polish",99,0
"111",111,23,13,6,"2",1,"3","3",3,6,76,"+4.811","7247553","76","4","1:17.886",1,"massa","19","MAS","Felipe","Massa","1981-04-25","Brazilian",109,2
"112",112,23,17,9,"10",9,"4","4",4,5,76,"+19.295","7262037","74","8","1:19.036",1,"webber","\N","WEB","Mark","Webber","1976-08-27","Australian",101,0
"113",113,23,20,5,"15",19,"5","5",5,4,76,"+24.657","7267399","74","7","1:18.787",1,"vettel","5","VET","Sebastian","Vettel","1987-07-03","German",112,0
"114",114,23,22,11,"17",14,"6","6",6,3,76,"+28.408","7271150","75","9","1:19.574",1,"barrichello","\N","BAR","Rubens","Barrichello","1972-05-23","Brazilian",106,0
"115",115,23,6,3,"8",13,"7","7",7,2,76,"+30.180","7272922","75","13","1:19.910",1,"nakajima","\N","NAK","Kazuki","Nakajima","1985-01-11","Japanese",96,0
"116",116,23,5,1,"23",4,"8","8",8,1,76,"+33.191","7275933","74","2","1:17.282",1,"kovalainen","\N","KOV","Heikki","Kovalainen","1981-10-19","Finnish",95,0
"117",117,23,8,6,"1",2,"9","9",9,0,76,"+33.792","7276534","74","1","1:16.689",1,"raikkonen","7","RAI","Kimi","Räikkönen","1979-10-17","Finnish",98,2
"118",118,23,4,4,"5",7,"10","10",10,0,75,"\N","\N","73","3","1:17.869",11,"alonso","14","ALO","Fernando","Alonso","1981-07-29","Spanish",94,0
"119",119,23,18,11,"16",11,"11","11",11,0,75,"\N","\N","74","10","1:19.582",11,"button","22","BUT","Jenson","Button","1980-01-19","British",103,0
"120",120,23,10,7,"12",10,"12","12",12,0,75,"\N","\N","75","11","1:19.618",11,"glock","\N","GLO","Timo","Glock","1982-03-18","German",110,0
"121",121,23,15,7,"11",8,"13","13",13,0,75,"\N","\N","75","12","1:19.830",11,"trulli","\N","TRU","Jarno","Trulli","1974-07-13","Italian",100,0
"122",122,23,2,2,"3",12,"14","14",14,0,72,"\N","\N","72","14","1:20.251",14,"heidfeld","\N","HEI","Nick","Heidfeld","1977-05-10","German",92,0
"123",123,23,16,10,"20",18,"\N","R",15,0,67,"\N","\N","60","16","1:22.039",4,"sutil","99","SUT","Adrian","Sutil","1983-01-11","German",111,0
"124",124,23,3,3,"7",6,"\N","R",16,0,59,"\N","\N","58","15","1:21.270",3,"rosberg","6","ROS","Nico","Rosberg","1985-06-27","German",93,0
"125",125,23,12,4,"6",17,"\N","R",17,0,47,"\N","\N","40","17","1:31.187",3,"piquet_jr","\N","PIQ","Nelson","Piquet Jr.","1985-07-25","Brazilian",104,0
"126",126,23,21,10,"21",20,"\N","R",18,0,36,"\N","\N","33","18","1:32.849",6,"fisichella","\N","FIS","Giancarlo","Fisichella","1973-01-14","Italian",105,0
"127",127,23,14,9,"9",15,"\N","R",19,0,7,"\N","\N","7","20","1:42.112",3,"coulthard","\N","COU","David","Coulthard","1971-03-27","British",102,0
"128",128,23,7,5,"14",16,"\N","R",20,0,7,"\N","\N","7","19","1:41.150",4,"bourdais","\N","BOU","Sébastien","Bourdais","1979-02-28","French",97,0
"129",129,24,9,2,"4",2,"1","1",1,10,70,"1:36:24.227","5784227","47","4","1:17.539",1,"kubica","88","KUB","Robert","Kubica","1984-12-07","Polish",121,1
"130",130,24,2,2,"3",8,"2","2",2,8,70,"+16.495","5800722","25","2","1:17.430",1,"heidfeld","\N","HEI","Nick","Heidfeld","1977-05-10","German",114,0
"131",131,24,14,9,"9",13,"3","3",3,6,70,"+23.352","5807579","36","7","1:18.085",1,"coulthard","\N","COU","David","Coulthard","1971-03-27","British",124,0
"132",132,24,10,7,"12",11,"4","4",4,5,70,"+42.627","5826854","31","17","1:19.087",1,"glock","\N","GLO","Timo","Glock","1982-03-18","German",132,0
"133",133,24,13,6,"2",6,"5","5",5,4,70,"+43.934","5828161","11","6","1:18.006",1,"massa","19","MAS","Felipe","Massa","1981-04-25","Brazilian",131,2
"134",134,24,15,7,"11",14,"6","6",6,3,70,"+47.775","5832002","38","15","1:18.870",1,"trulli","\N","TRU","Jarno","Trulli","1974-07-13","Italian",122,0
"135",135,24,22,11,"17",9,"7","7",7,2,70,"+53.597","5837824","35","10","1:18.301",1,"barrichello","\N","BAR","Rubens","Barrichello","1972-05-23","Brazilian",128,0
"136",136,24,20,5,"15",19,"8","8",8,1,70,"+54.120","5838347","33","12","1:18.532",1,"vettel","5","VET","Sebastian","Vettel","1987-07-03","German",134,0
"137",137,24,5,1,"23",7,"9","9",9,0,70,"+54.433","5838660","62","11","1:18.462",1,"kovalainen","\N","KOV","Heikki","Kovalainen","1981-10-19","Finnish",117,0
"138",138,24,3,3,"7",5,"10","10",10,0,70,"+54.749","5838976","14","5","1:17.977",1,"rosberg","6","ROS","Nico","Rosberg","1985-06-27","German",115,0
"139",139,24,18,11,"16",20,"11","11",11,0,70,"+1:07.540","5851767","58","19","1:19.352",1,"button","22","BUT","Jenson","Button","1980-01-19","British",125,0
"140",140,24,17,9,"10",10,"12","12",12,0,70,"+1:11.299","5855526","51","8","1:18.201",1,"webber","\N","WEB","Mark","Webber","1976-08-27","Australian",123,0
"141",141,24,7,5,"14",18,"13","13",13,0,69,"\N","\N","34","13","1:18.620",11,"bourdais","\N","BOU","Sébastien","Bourdais","1979-02-28","French",119,0
"142",142,24,21,10,"21",17,"\N","R",14,0,51,"\N","\N","41","16","1:19.066",20,"fisichella","\N","FIS","Giancarlo","Fisichella","1973-01-14","Italian",127,0
"143",143,24,6,3,"8",12,"\N","R",15,0,46,"\N","\N","30","14","1:18.784",3,"nakajima","\N","NAK","Kazuki","Nakajima","1985-01-11","Japanese",118,0
"144",144,24,4,4,"5",4,"\N","R",16,0,44,"\N","\N","16","9","1:18.225",20,"alonso","14","ALO","Fernando","Alonso","1981-07-29","Spanish",116,0
"145",145,24,12,4,"6",15,"\N","R",17,0,43,"\N","\N","16","18","1:19.239",23,"piquet_jr","\N","PIQ","Nelson","Piquet Jr.","1985-07-25","Brazilian",126,0
"146",146,24,8,6,"1",3,"\N","R",18,0,19,"\N","\N","14","1","1:17.387",4,"raikkonen","7","RAI","Kimi","Räikkönen","1979-10-17","Finnish",120,2
"147",147,24,1,1,"22",1,"\N","R",19,0,19,"\N","\N","4","3","1:17.506",4,"hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British",113,2
"148",148,24,16,10,"20",16,"\N","R",20,0,13,"\N","\N","7","20","1:20.666",6,"sutil","99","SUT","Adrian","Sutil","1983-01-11","German",133,0
"149",149,25,13,6,"2",2,"1","1",1,10,70,"1:31:50.245","5510245","20","2","1:16.729",1,"massa","19","MAS","Felipe","Massa","1981-04-25","Brazilian",153,3
"150",150,25,8,6,"1",1,"2","2",2,8,70,"+17.984","5528229","16","1","1:16.630",1,"raikkonen","7","RAI","Kimi","Räikkönen","1979-10-17","Finnish",142,2
"151",151,25,15,7,"11",4,"3","3",3,6,70,"+28.250","5538495","12","7","1:17.567",1,"trulli","\N","TRU","Jarno","Trulli","1974-07-13","Italian",144,0
"152",152,25,5,1,"23",10,"4","4",4,5,70,"+28.929","5539174","46","3","1:17.134",1,"kovalainen","\N","KOV","Heikki","Kovalainen","1981-10-19","Finnish",139,0
"153",153,25,9,2,"4",5,"5","5",5,4,70,"+30.512","5540757","16","4","1:17.172",1,"kubica","88","KUB","Robert","Kubica","1984-12-07","Polish",143,1
"154",154,25,17,9,"10",6,"6","6",6,3,70,"+40.304","5550549","22","6","1:17.507",1,"webber","\N","WEB","Mark","Webber","1976-08-27","Australian",145,0
"155",155,25,12,4,"6",9,"7","7",7,2,70,"+41.033","5551278","24","10","1:17.758",1,"piquet_jr","\N","PIQ","Nelson","Piquet Jr.","1985-07-25","Brazilian",148,0
"156",156,25,4,4,"5",3,"8","8",8,1,70,"+43.372","5553617","39","8","1:17.641",1,"alonso","14","ALO","Fernando","Alonso","1981-07-29","Spanish",138,0
"157",157,25,14,9,"9",7,"9","9",9,0,70,"+51.021","5561266","23","12","1:17.818",1,"coulthard","\N","COU","David","Coulthard","1971-03-27","British",146,0
"158",158,25,1,1,"22",13,"10","10",10,0,70,"+54.538","5564783","40","5","1:17.453",1,"hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British",135,2
"159",159,25,10,7,"12",8,"11","11",11,0,70,"+57.700","5567945","45","13","1:17.836",1,"glock","\N","GLO","Timo","Glock","1982-03-18","German",154,0
"160",160,25,20,5,"15",12,"12","12",12,0,70,"+58.065","5568310","36","11","1:17.760",1,"vettel","5","VET","Sebastian","Vettel","1987-07-03","German",156,0
"161",161,25,2,2,"3",11,"13","13",13,0,70,"+1:02.079","5572324","46","9","1:17.716",1,"heidfeld","\N","HEI","Nick","Heidfeld","1977-05-10","German",136,0
"162",162,25,22,11,"17",20,"14","14",14,0,69,"\N","\N","54","14","1:17.969",11,"barrichello","\N","BAR","Rubens","Barrichello","1972-05-23","Brazilian",150,0
"163",163,25,6,3,"8",15,"15","15",15,0,69,"\N","\N","60","15","1:18.054",11,"nakajima","\N","NAK","Kazuki","Nakajima","1985-01-11","Japanese",140,0
"164",164,25,3,3,"7",19,"16","16",16,0,69,"\N","\N","38","17","1:18.311",11,"rosberg","6","ROS","Nico","Rosberg","1985-06-27","German",137,0
